date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:44:43	853/853	---M-Z	404	error ('Not%20Found')	text/html	date:Thu,%2006%20Jul%202023%2016:15:01%20GMT	https://vijaysprogramming.in/robots.txt		(from )
20:44:44	83498/83498	---M-Z	200	added ('OK')	text/html	date:Thu,%2006%20Jul%202023%2016:15:01%20GMT	https://vijaysprogramming.in/	C:/My%20Web%20Sites/vijays%20programming/vijaysprogramming.in/index.html	(from )
20:44:44	675/675	---M-Z	200	added ('OK')	image/png	date:Thu,%2006%20Jul%202023%2016:15:01%20GMT	https://vijaysprogramming.in/images/vijays-programming-website-favicon-color.png	C:/My%20Web%20Sites/vijays%20programming/vijaysprogramming.in/images/vijays-programming-website-favicon-color.png	(from https://vijaysprogramming.in/)
20:44:44	127343/127343	---M-Z	200	added ('OK')	text/css	date:Thu,%2006%20Jul%202023%2016:15:01%20GMT	https://vijaysprogramming.in/styles/bootstrap4/bootstrap.min.css	C:/My%20Web%20Sites/vijays%20programming/vijaysprogramming.in/styles/bootstrap4/bootstrap.min.css	(from https://vijaysprogramming.in/)
20:44:44	41861/41861	---M-Z	200	added ('OK')	text/css	date:Thu,%2006%20Jul%202023%2016:15:01%20GMT	https://vijaysprogramming.in/plugins/fontawesome-free-5.0.1/css/fontawesome-all.css	C:/My%20Web%20Sites/vijays%20programming/vijaysprogramming.in/plugins/fontawesome-free-5.0.1/css/fontawesome-all.css	(from https://vijaysprogramming.in/)
20:44:45	4219/4219	---M-Z	200	added ('OK')	text/css	date:Thu,%2006%20Jul%202023%2016:15:01%20GMT	https://vijaysprogramming.in/plugins/OwlCarousel2-2.2.1/owl.carousel.css	C:/My%20Web%20Sites/vijays%20programming/vijaysprogramming.in/plugins/OwlCarousel2-2.2.1/owl.carousel.css	(from https://vijaysprogramming.in/)
20:44:45	1333/1333	---M-Z	200	added ('OK')	text/css	date:Thu,%2006%20Jul%202023%2016:15:01%20GMT	https://vijaysprogramming.in/plugins/OwlCarousel2-2.2.1/owl.theme.default.css	C:/My%20Web%20Sites/vijays%20programming/vijaysprogramming.in/plugins/OwlCarousel2-2.2.1/owl.theme.default.css	(from https://vijaysprogramming.in/)
20:44:45	73460/73460	---M-Z	200	added ('OK')	text/css	date:Thu,%2006%20Jul%202023%2016:15:01%20GMT	https://vijaysprogramming.in/plugins/OwlCarousel2-2.2.1/animate.css	C:/My%20Web%20Sites/vijays%20programming/vijaysprogramming.in/plugins/OwlCarousel2-2.2.1/animate.css	(from https://vijaysprogramming.in/)
20:44:46	24823/24823	---M-Z	200	added ('OK')	text/css	date:Thu,%2006%20Jul%202023%2016:15:01%20GMT	https://vijaysprogramming.in/styles/main_styles.css	C:/My%20Web%20Sites/vijays%20programming/vijaysprogramming.in/styles/main_styles.css	(from https://vijaysprogramming.in/)
20:44:46	5619/5619	---M-Z	200	added ('OK')	text/css	date:Thu,%2006%20Jul%202023%2016:15:01%20GMT	https://vijaysprogramming.in/styles/responsive.css	C:/My%20Web%20Sites/vijays%20programming/vijaysprogramming.in/styles/responsive.css	(from https://vijaysprogramming.in/)
20:44:46	38275/38275	---M-Z	200	added ('OK')	image/png	date:Thu,%2006%20Jul%202023%2016:15:01%20GMT	https://vijaysprogramming.in/images/vpminimalwhitebcg.png	C:/My%20Web%20Sites/vijays%20programming/vijaysprogramming.in/images/vpminimalwhitebcg.png	(from https://vijaysprogramming.in/)
20:44:47	3536/3536	---M-Z	200	added ('OK')	image/svg+xml	date:Thu,%2006%20Jul%202023%2016:15:01%20GMT	https://vijaysprogramming.in/images/phone-call.svg	C:/My%20Web%20Sites/vijays%20programming/vijaysprogramming.in/images/phone-call.svg	(from https://vijaysprogramming.in/)
20:44:48	5953/5953	---M-Z	200	added ('OK')	image/svg+xml	date:Thu,%2006%20Jul%202023%2016:15:01%20GMT	https://vijaysprogramming.in/images/earth-globe.svg	C:/My%20Web%20Sites/vijays%20programming/vijaysprogramming.in/images/earth-globe.svg	(from https://vijaysprogramming.in/)
20:44:48	375262/375262	---M-Z	200	added ('OK')	image/jpeg	date:Thu,%2006%20Jul%202023%2016:15:01%20GMT	https://vijaysprogramming.in/images/main-bcg.jpg	C:/My%20Web%20Sites/vijays%20programming/vijaysprogramming.in/images/main-bcg.jpg	(from https://vijaysprogramming.in/)
20:44:49	4894/4894	---M-Z	200	added ('OK')	image/svg+xml	date:Thu,%2006%20Jul%202023%2016:15:01%20GMT	https://vijaysprogramming.in/images/books.svg	C:/My%20Web%20Sites/vijays%20programming/vijaysprogramming.in/images/books.svg	(from https://vijaysprogramming.in/)
20:44:49	5441/5441	---M-Z	200	added ('OK')	image/svg+xml	date:Thu,%2006%20Jul%202023%2016:15:01%20GMT	https://vijaysprogramming.in/images/professor.svg	C:/My%20Web%20Sites/vijays%20programming/vijaysprogramming.in/images/professor.svg	(from https://vijaysprogramming.in/)
20:44:50	22143/22143	---M-Z	200	added ('OK')	image/jpeg	date:Thu,%2006%20Jul%202023%2016:15:01%20GMT	https://vijaysprogramming.in/images/JavaJ2EE.jpg	C:/My%20Web%20Sites/vijays%20programming/vijaysprogramming.in/images/JavaJ2EE.jpg	(from https://vijaysprogramming.in/)
20:44:50	16800/16800	---M-Z	200	added ('OK')	text/html	date:Thu,%2006%20Jul%202023%2016:15:01%20GMT	https://vijaysprogramming.in/courses.html	C:/My%20Web%20Sites/vijays%20programming/vijaysprogramming.in/courses.html	(from https://vijaysprogramming.in/)
20:44:50	14208/14208	---M-Z	200	added ('OK')	image/png	date:Thu,%2006%20Jul%202023%2016:15:01%20GMT	https://vijaysprogramming.in/images/pythoncropped.png	C:/My%20Web%20Sites/vijays%20programming/vijaysprogramming.in/images/pythoncropped.png	(from https://vijaysprogramming.in/)
20:44:51	44273/44273	---M-Z	200	added ('OK')	image/png	date:Thu,%2006%20Jul%202023%2016:15:01%20GMT	https://vijaysprogramming.in/images/wedev.png	C:/My%20Web%20Sites/vijays%20programming/vijaysprogramming.in/images/wedev.png	(from https://vijaysprogramming.in/)
20:44:51	4766/4766	---M-Z	200	added ('OK')	image/svg+xml	date:Thu,%2006%20Jul%202023%2016:15:01%20GMT	https://vijaysprogramming.in/images/exam.svg	C:/My%20Web%20Sites/vijays%20programming/vijaysprogramming.in/images/exam.svg	(from https://vijaysprogramming.in/)
20:44:51	3865/3865	---M-Z	200	added ('OK')	image/svg+xml	date:Thu,%2006%20Jul%202023%2016:15:01%20GMT	https://vijaysprogramming.in/images/blackboard.svg	C:/My%20Web%20Sites/vijays%20programming/vijaysprogramming.in/images/blackboard.svg	(from https://vijaysprogramming.in/)
20:44:52	3696/3696	---M-Z	200	added ('OK')	image/svg+xml	date:Thu,%2006%20Jul%202023%2016:15:01%20GMT	https://vijaysprogramming.in/images/mortarboard.svg	C:/My%20Web%20Sites/vijays%20programming/vijaysprogramming.in/images/mortarboard.svg	(from https://vijaysprogramming.in/)
20:44:53	416729/416729	---M-Z	200	added ('OK')	image/jpeg	date:Thu,%2006%20Jul%202023%2016:15:01%20GMT	https://vijaysprogramming.in/images/review-images/studentsgathered.jpg	C:/My%20Web%20Sites/vijays%20programming/vijaysprogramming.in/images/review-images/studentsgathered.jpg	(from https://vijaysprogramming.in/)
20:44:53	116794/116794	---M--	200	added ('OK')	image/png	date:Thu,%2006%20Jul%202023%2016:15:01%20GMT	https://vijaysprogramming.in/images/review-images/syam.png	C:/My%20Web%20Sites/vijays%20programming/vijaysprogramming.in/images/review-images/syam.png	(from https://vijaysprogramming.in/)
20:44:53	27832/27832	---M-Z	200	added ('OK')	image/jpeg	date:Thu,%2006%20Jul%202023%2016:15:01%20GMT	https://vijaysprogramming.in/images/review-images/shalini.JPG	C:/My%20Web%20Sites/vijays%20programming/vijaysprogramming.in/images/review-images/shalini.jpg	(from https://vijaysprogramming.in/)
20:44:54	19641/19641	---M-Z	200	added ('OK')	image/jpeg	date:Thu,%2006%20Jul%202023%2016:15:01%20GMT	https://vijaysprogramming.in/images/review-images/vasundara.JPG	C:/My%20Web%20Sites/vijays%20programming/vijaysprogramming.in/images/review-images/vasundara.jpg	(from https://vijaysprogramming.in/)
20:44:54	21619/21619	---M-Z	200	added ('OK')	image/jpeg	date:Thu,%2006%20Jul%202023%2016:15:01%20GMT	https://vijaysprogramming.in/images/review-images/vishnu.JPG	C:/My%20Web%20Sites/vijays%20programming/vijaysprogramming.in/images/review-images/vishnu.jpg	(from https://vijaysprogramming.in/)
20:44:54	107288/107288	---M--	200	added ('OK')	image/png	date:Thu,%2006%20Jul%202023%2016:15:01%20GMT	https://vijaysprogramming.in/images/review-images/chandan.png	C:/My%20Web%20Sites/vijays%20programming/vijaysprogramming.in/images/review-images/chandan.png	(from https://vijaysprogramming.in/)
20:44:55	8746/8746	---M--	200	added ('OK')	image/png	date:Thu,%2006%20Jul%202023%2016:15:01%20GMT	https://vijaysprogramming.in/images/review-images/deekshit.png	C:/My%20Web%20Sites/vijays%20programming/vijaysprogramming.in/images/review-images/deekshit.png	(from https://vijaysprogramming.in/)
20:44:55	8485/8485	---M--	200	added ('OK')	image/png	date:Thu,%2006%20Jul%202023%2016:15:01%20GMT	https://vijaysprogramming.in/images/review-images/sivamyadav.png	C:/My%20Web%20Sites/vijays%20programming/vijaysprogramming.in/images/review-images/sivamyadav.png	(from https://vijaysprogramming.in/)
20:44:55	6534/6534	---M--	200	added ('OK')	image/png	date:Thu,%2006%20Jul%202023%2016:15:01%20GMT	https://vijaysprogramming.in/images/review-images/sunilraj.png	C:/My%20Web%20Sites/vijays%20programming/vijaysprogramming.in/images/review-images/sunilraj.png	(from https://vijaysprogramming.in/)
20:44:55	6795/6795	---M--	200	added ('OK')	image/png	date:Thu,%2006%20Jul%202023%2016:15:01%20GMT	https://vijaysprogramming.in/images/review-images/arvind.png	C:/My%20Web%20Sites/vijays%20programming/vijaysprogramming.in/images/review-images/arvind.png	(from https://vijaysprogramming.in/)
20:44:56	3782/3782	---M--	200	added ('OK')	image/png	date:Thu,%2006%20Jul%202023%2016:15:01%20GMT	https://vijaysprogramming.in/images/review-images/female.png	C:/My%20Web%20Sites/vijays%20programming/vijaysprogramming.in/images/review-images/female.png	(from https://vijaysprogramming.in/)
20:44:56	8545/8545	---M--	200	added ('OK')	image/png	date:Thu,%2006%20Jul%202023%2016:15:01%20GMT	https://vijaysprogramming.in/images/review-images/bunnysrinivas.png	C:/My%20Web%20Sites/vijays%20programming/vijaysprogramming.in/images/review-images/bunnysrinivas.png	(from https://vijaysprogramming.in/)
20:44:56	8060/8060	---M--	200	added ('OK')	image/png	date:Thu,%2006%20Jul%202023%2016:15:01%20GMT	https://vijaysprogramming.in/images/review-images/ramkumar.png	C:/My%20Web%20Sites/vijays%20programming/vijaysprogramming.in/images/review-images/ramkumar.png	(from https://vijaysprogramming.in/)
20:44:57	8006/8006	---M--	200	added ('OK')	image/png	date:Thu,%2006%20Jul%202023%2016:15:01%20GMT	https://vijaysprogramming.in/images/review-images/pradeepraj.png	C:/My%20Web%20Sites/vijays%20programming/vijaysprogramming.in/images/review-images/pradeepraj.png	(from https://vijaysprogramming.in/)
20:44:57	8723/8723	---M--	200	added ('OK')	image/png	date:Thu,%2006%20Jul%202023%2016:15:01%20GMT	https://vijaysprogramming.in/images/review-images/masood.png	C:/My%20Web%20Sites/vijays%20programming/vijaysprogramming.in/images/review-images/masood.png	(from https://vijaysprogramming.in/)
20:44:57	9001/9001	---M--	200	added ('OK')	image/png	date:Thu,%2006%20Jul%202023%2016:15:01%20GMT	https://vijaysprogramming.in/images/review-images/vishnavi.png	C:/My%20Web%20Sites/vijays%20programming/vijaysprogramming.in/images/review-images/vishnavi.png	(from https://vijaysprogramming.in/)
20:44:58	8654/8654	---M--	200	added ('OK')	image/png	date:Thu,%2006%20Jul%202023%2016:15:01%20GMT	https://vijaysprogramming.in/images/review-images/rahul.png	C:/My%20Web%20Sites/vijays%20programming/vijaysprogramming.in/images/review-images/rahul.png	(from https://vijaysprogramming.in/)
20:44:58	7797/7797	---M--	200	added ('OK')	image/png	date:Thu,%2006%20Jul%202023%2016:15:01%20GMT	https://vijaysprogramming.in/images/review-images/bhaskar.png	C:/My%20Web%20Sites/vijays%20programming/vijaysprogramming.in/images/review-images/bhaskar.png	(from https://vijaysprogramming.in/)
